1,489,141,051,103
1,240,211,054,109
1,636,221,057,114
2,486,143,052,105
2,245,209,054,108
2,626,220,058,116
3,485,144,052,105
3,251,207,055,111
3,616,223,057,114
4,267,207,053,106
4,602,221,058,116
4,483,146,051,102
5,479,144,052,104
5,272,206,053,107
5,595,221,058,117
6,475,146,052,104
6,276,206,052,105
6,584,224,057,114
7,473,147,052,105
7,280,207,053,107
7,575,227,054,109
8,468,147,052,105
8,285,206,053,107
8,567,224,056,113
9,465,147,053,106
9,291,202,053,106
9,560,222,057,115
10,462,149,052,105
10,296,200,053,106
10,552,221,058,117
11,455,151,054,108
11,302,193,056,112
11,532,224,056,112
12,453,152,053,107
12,309,194,055,111
12,526,226,054,109
13,449,154,052,104
13,315,193,054,109
13,517,224,056,113
14,436,148,056,112
14,325,191,053,106
14,497,223,055,110
14,720,298,048,117
15,428,140,062,124
15,326,190,054,108
15,492,222,055,111
15,715,291,053,123
16,424,144,060,120
16,330,187,055,111
16,483,222,055,111
16,711,283,057,125
17,422,148,057,114
17,334,185,055,111
17,475,219,057,115
17,709,277,059,126
18,419,157,052,105
18,342,183,054,109
18,456,219,056,113
19,343,179,055,111
19,449,216,057,114
20,344,178,056,112
20,443,217,056,112
20,720,269,048,123
20,689,269,064,129
20,679,197,089,208
21,350,178,055,111
21,429,215,057,114
21,675,267,060,120
22,353,177,055,110
22,422,217,054,109
22,671,265,061,122
23,355,175,056,113
23,668,267,059,118
24,357,175,054,108
24,407,208,057,114
24,657,261,060,120
24,670,205,090,181
25,360,175,054,109
25,401,206,057,115
25,654,257,060,121
25,664,201,090,180
26,363,170,055,111
26,397,207,056,112
26,683,255,056,113
27,363,167,058,116
27,644,249,063,126
27,678,255,056,113
28,363,168,058,117
28,391,207,055,110
28,675,255,056,113
29,366,166,057,114
29,627,241,064,128
30,366,166,056,113
30,621,242,062,124
31,367,166,055,111
31,617,242,061,123
31,655,242,056,112
32,367,165,056,113
32,610,242,060,120
33,368,164,056,113
33,606,242,059,118
34,368,165,056,112
34,601,237,060,120
35,369,165,055,111
35,598,235,059,119
35,622,233,059,118
36,367,164,055,111
36,619,234,059,119
37,369,164,055,111
37,609,229,060,120
38,371,161,057,114
38,606,229,057,115
38,581,227,060,121
39,375,162,056,113
39,602,224,057,114
39,575,230,057,115
40,417,172,056,112
40,363,160,055,111
40,564,228,056,112
40,593,221,059,119
41,365,158,057,114
41,421,169,056,113
41,561,228,056,112
41,582,213,064,129
42,423,170,054,108
42,368,156,059,119
42,578,212,063,126
42,555,225,056,112
43,370,156,059,118
43,424,167,054,108
43,576,214,058,117
43,552,218,058,116
43,724,288,044,121
44,366,158,056,113
44,426,167,054,109
44,541,216,058,116
44,573,218,054,109
44,710,272,058,125
45,366,159,055,111
45,429,167,053,107
45,569,217,056,112
45,536,218,056,113
45,702,266,065,131
46,365,160,055,110
46,429,159,055,111
46,566,212,057,115
46,531,214,058,117
46,698,265,064,128
47,429,157,055,111
47,363,162,054,109
47,525,212,057,114
47,563,212,055,110
47,691,263,064,128
48,427,155,056,113
48,361,164,052,105
48,557,208,055,111
48,512,211,056,112
48,675,226,083,166
49,425,152,056,112
49,361,165,052,105
49,553,208,056,113
49,508,211,056,112
49,672,238,075,151
50,422,148,056,112
50,360,165,052,104
50,549,205,057,114
50,504,211,056,112
50,664,225,082,165
51,419,142,057,115
51,359,166,052,105
51,538,201,056,112
51,496,208,055,111
51,661,247,067,135
52,359,165,053,106
52,535,200,055,110
52,493,206,054,108
52,653,249,064,129
53,360,165,053,106
53,650,248,061,123
53,532,204,053,106
53,491,203,055,110
54,359,164,054,108
54,528,202,054,108
54,486,202,056,112
54,644,245,061,122
55,362,161,055,110
55,521,201,053,107
55,479,199,057,114
55,635,242,062,125
56,361,163,054,108
56,474,197,057,114
56,518,199,053,106
56,630,241,061,122
57,361,156,058,116
57,469,196,057,114
57,514,197,052,104
57,625,238,061,123
58,367,155,059,119
58,509,196,053,107
58,466,198,055,111
58,615,228,065,131
59,366,155,059,118
59,505,195,053,107
59,463,198,055,111
59,611,227,065,130
60,364,154,059,119
60,500,194,052,105
60,461,197,055,110
60,609,227,064,128
61,369,156,060,120
61,492,190,053,106
61,458,193,054,108
61,603,228,061,123
62,368,155,061,123
62,456,190,054,108
62,487,191,052,104
62,599,222,062,125
63,337,150,051,102
63,369,157,060,120
63,455,189,054,108
63,485,191,052,105
63,595,219,064,128
64,331,148,052,105
64,373,156,061,122
64,453,190,053,107
64,484,191,053,106
64,593,221,061,122
65,319,149,050,100
65,365,162,056,113
65,447,181,057,115
65,590,216,060,121
66,314,149,051,102
66,362,163,056,112
66,443,182,056,112
66,589,212,061,122
67,309,147,052,104
67,361,165,054,108
67,441,185,053,107
67,476,180,053,106
67,586,209,061,123
68,362,164,056,112
68,474,179,054,108
68,438,185,053,106
68,583,206,062,125
69,360,165,054,109
69,436,183,053,107
69,469,178,052,105
69,579,206,060,121
70,284,140,055,110
70,361,165,055,111
70,433,179,055,110
70,468,178,052,105
70,576,204,060,121
71,280,144,054,108
71,362,163,056,112
71,432,179,054,108
71,467,176,052,105
71,573,200,060,120
72,361,165,053,107
72,432,176,054,109
72,572,199,059,118
72,468,174,051,103
73,359,165,054,108
73,430,173,054,109
73,467,174,052,104
73,568,197,059,119
74,262,148,052,104
74,362,164,055,111
74,431,174,053,107
74,566,196,059,118
75,257,149,052,104
75,360,166,053,106
75,467,170,052,104
75,429,171,053,107
75,565,192,059,119
76,251,152,051,103
76,359,167,052,105
76,427,169,052,105
76,466,166,052,105
76,563,187,058,117
77,249,152,052,104
77,361,166,053,107
77,427,168,052,105
77,466,167,052,105
77,562,186,058,117
78,247,153,052,104
78,360,166,053,107
78,427,168,052,104
78,465,165,053,106
78,562,187,057,114
79,245,154,052,104
79,429,165,052,105
79,460,161,054,108
79,360,166,053,106
79,560,185,055,111
80,245,154,052,104
80,430,153,057,114
80,459,157,054,109
80,361,166,053,106
80,557,181,056,112
81,246,156,051,103
81,460,156,053,107
